epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,552.321,1.20133,1.04987,1.37768,0.76385,0.77768,0.79942,0.516,1.26085,1.05824,1.51244,0.000166557,0.000166557,0.0668552
2,1115.73,1.12683,0.93068,1.33003,0.74797,0.77251,0.80306,0.52718,1.23407,1.07212,1.49141,0.000322227,0.000322227,0.0336775
3,1677.78,1.11512,0.89778,1.31862,0.78159,0.79344,0.82455,0.54306,1.20983,0.96587,1.47513,0.000466897,0.000466897,0.000488856
4,2239.88,1.09904,0.88465,1.31223,0.76678,0.79569,0.81706,0.53741,1.20751,0.98068,1.4686,0.0004505,0.0004505,0.0004505
5,2801.89,1.09019,0.8788,1.30463,0.77157,0.75376,0.80408,0.53191,1.20552,1.00213,1.47962,0.000434,0.000434,0.000434
6,3362.8,1.08857,0.85641,1.29897,0.79016,0.80474,0.83943,0.55264,1.20614,0.93878,1.45904,0.0004175,0.0004175,0.0004175
7,3924.18,1.08044,0.85411,1.29367,0.79599,0.80255,0.83725,0.55275,1.20423,0.92272,1.47004,0.000401,0.000401,0.000401
8,4485.97,1.07693,0.85191,1.29218,0.80367,0.81558,0.84686,0.56203,1.19573,0.89521,1.46323,0.0003845,0.0003845,0.0003845
9,5047.63,1.07395,0.84259,1.28952,0.80777,0.81172,0.84978,0.55954,1.211,0.91185,1.46301,0.000368,0.000368,0.000368
10,5609.8,1.0655,0.83921,1.28424,0.79858,0.81236,0.84284,0.56015,1.17819,0.90905,1.44831,0.0003515,0.0003515,0.0003515
11,6172.18,1.06623,0.81978,1.27962,0.79165,0.81411,0.84327,0.56231,1.18501,0.90748,1.44471,0.000335,0.000335,0.000335
12,6732.78,1.05322,0.80803,1.27053,0.80897,0.81607,0.84561,0.56395,1.17587,0.89778,1.44578,0.0003185,0.0003185,0.0003185
13,7294.52,1.04701,0.80241,1.26868,0.81333,0.8214,0.85135,0.56342,1.18607,0.89373,1.44504,0.000302,0.000302,0.000302
14,7855.83,1.04169,0.79912,1.26831,0.80955,0.81765,0.85249,0.57035,1.18331,0.88938,1.44679,0.0002855,0.0002855,0.0002855
15,8417.31,1.03045,0.78615,1.26035,0.80613,0.8218,0.84956,0.5691,1.16787,0.88607,1.43481,0.000269,0.000269,0.000269
16,8979.51,1.03177,0.78043,1.259,0.81424,0.82147,0.85374,0.57266,1.15878,0.85804,1.43287,0.0002525,0.0002525,0.0002525
17,9539.64,1.02418,0.77351,1.25875,0.80608,0.82785,0.8532,0.5745,1.15922,0.87901,1.43203,0.000236,0.000236,0.000236
18,10100.3,1.01345,0.76284,1.24878,0.81137,0.82748,0.85396,0.5744,1.1631,0.87393,1.43521,0.0002195,0.0002195,0.0002195
19,10661.3,1.01129,0.75495,1.24669,0.80642,0.83123,0.8547,0.57492,1.15396,0.88369,1.42665,0.000203,0.000203,0.000203
20,11222.6,1.00877,0.75308,1.2434,0.82308,0.8158,0.85964,0.57872,1.15489,0.8534,1.42616,0.0001865,0.0001865,0.0001865
21,11779.8,0.88814,0.51647,1.15996,0.81224,0.8375,0.85665,0.58131,1.13462,0.86869,1.41047,0.00017,0.00017,0.00017
22,12335.6,0.87432,0.5025,1.14815,0.81367,0.8377,0.85513,0.58132,1.13226,0.87352,1.41306,0.0001535,0.0001535,0.0001535
23,12891,0.86553,0.49159,1.14269,0.81349,0.83689,0.85791,0.58258,1.13203,0.8732,1.41499,0.000137,0.000137,0.000137
24,13446.6,0.86208,0.48521,1.13978,0.81522,0.83023,0.85503,0.58015,1.13292,0.87692,1.4184,0.0001205,0.0001205,0.0001205
25,14001.9,0.84967,0.47538,1.13154,0.81567,0.83212,0.85648,0.58112,1.13226,0.87893,1.41961,0.000104,0.000104,0.000104
26,14557.3,0.84395,0.46939,1.12719,0.81401,0.83492,0.85642,0.58208,1.12855,0.86892,1.41509,8.75e-05,8.75e-05,8.75e-05
27,15113.1,0.83496,0.4615,1.12056,0.81184,0.83502,0.85593,0.58311,1.12737,0.8722,1.41273,7.1e-05,7.1e-05,7.1e-05
28,15668.1,0.82995,0.45797,1.11764,0.81477,0.83488,0.85606,0.58064,1.13059,0.87606,1.41746,5.45e-05,5.45e-05,5.45e-05
29,16223.9,0.82496,0.44976,1.1153,0.82172,0.82718,0.85556,0.5815,1.12715,0.87878,1.41278,3.8e-05,3.8e-05,3.8e-05
30,16779.9,0.81708,0.44684,1.11086,0.81099,0.83555,0.85481,0.58218,1.12616,0.88369,1.414,2.15e-05,2.15e-05,2.15e-05
